format	fm-lint-telemetry-v1
git_head	90810a00667524510d131286e571c50a0073d9d1
content_cksum	2216048858-19937
shellcheck_version	0.11.0
analysis_mode	full
jobs	4
root_count	424
direct_lines	291706
direct_bytes	14062859
source_directives	834
source_boundary_directives	142
source_followed_directives	692
source_target_count	78
detected_cpus	8
host_memory_mib	24576
admission_budget_mib	6144
peak_reserved_mib	6144
peak_parallel_roots	4
wall_seconds	103
worker_wall_sum_seconds	328.59
max_worker_wall_seconds	0.91
user_seconds	0.00
system_seconds	4.15
max_worker_rss_kib	2320
worker_rss_sum_kib	931328
shellcheck_processes_start	0
shellcheck_processes_end	0
load_average_start	11.91/13.97/14.48
load_average_end	11.75/13.07/14.05
aggregate_cpu_percent_start	304.40
aggregate_cpu_percent_end	240.00
result_exit	0
