format	fm-lint-telemetry-v1
git_head	07199adb1b862e67cf4746dcd04d874182b37dce
content_cksum	1772411174-79
shellcheck_version	0.11.0
analysis_mode	affected
jobs	8
root_count	3
direct_lines	8
direct_bytes	164
source_directives	2
source_boundary_directives	0
source_followed_directives	2
source_target_count	2
detected_cpus	8
host_memory_mib	24576
admission_budget_mib	6144
peak_reserved_mib	6144
peak_parallel_roots	1
wall_seconds	1
worker_wall_sum_seconds	0.39
max_worker_wall_seconds	0.13
user_seconds	0.03
system_seconds	0.03
max_worker_rss_kib	20144
worker_rss_sum_kib	60304
shellcheck_processes_start	0
shellcheck_processes_end	0
load_average_start	10.44/11.71/13.22
load_average_end	10.44/11.71/13.22
aggregate_cpu_percent_start	264.10
aggregate_cpu_percent_end	298.20
result_exit	1
