format	fm-lint-telemetry-v1
git_head	90810a00667524510d131286e571c50a0073d9d1
content_cksum	953589053-805
shellcheck_version	0.11.0
analysis_mode	full
jobs	1
root_count	18
direct_lines	10251
direct_bytes	477709
source_directives	41
source_boundary_directives	18
source_followed_directives	23
source_target_count	14
detected_cpus	8
host_memory_mib	24576
admission_budget_mib	6144
peak_reserved_mib	2295
peak_parallel_roots	1
wall_seconds	71
worker_wall_sum_seconds	70.51
max_worker_wall_seconds	16.58
user_seconds	53.30
system_seconds	2.50
max_worker_rss_kib	1511280
worker_rss_sum_kib	6246752
shellcheck_processes_start	0
shellcheck_processes_end	0
load_average_start	9.94/12.36/13.73
load_average_end	10.43/12.03/13.49
aggregate_cpu_percent_start	271.60
aggregate_cpu_percent_end	242.80
result_exit	0
